0.0	2.5	2.0
15.4	18.0	14.8
11.5	11.3	10.2
14.7	12.3	10.3
12.5	1.4	10.5
12.1	10.0	10.4
10.3	10.0	7.6
13.4	10.0	5.3
15.9	17.9	18.2
11.7	1.5	5.1
14.7	15.9	17.5
12.4	10.0	12.4
12.0	10.0	11.4
10.1	10.0	7.7
10.8	4.6	1.6
15.5	5.0	10.5
12.0	14.4	10.0
15.4	10.7	11.7
12.0	1.6	6.3
14.3	11.1	10.1
15.2	2.6	5.8
11.9	5.1	3.5
13.1	14.6	10.0
10.2	4.1	2.5
12.4	10.0	10.0
14.9	4.2	3.7
13.2	0.0	4.0
11.3	2.2	2.0
11.9	15.7	16.4
13.3	10.0	6.4
12.6	11.8	17.4
11.7	4.5	10.8
10.7	2.2	8.6
11.0	10.0	10.0
11.9	10.0	7.1
15.2	4.1	2.7
10.8	14.6	10.3
12.6	7.0	4.1
11.2	2.7	10.0
13.4	8.3	10.0
12.7	12.1	4.3
12.2	2.3	10.0
